No.;Nama;Base Attack;Base Defense;Bentuk Sebelumnya;Evolusi ke;Total Evolusi;Tipe;Kuat Terhadap;RIceistan Terhadap;Legendaris;Deskripsi;Efek;M/G;Biaya;Cek Evolusi;Bonus;Attack;Deffense;id;check MG;chek error
007;Squirtle;48;65;-;1;3;Water;Fire, Ground, Rock;Water, Fire;Tidak;Squirtle menembakkan air dari mulutnya dengan tekanan tinggi untuk menumbangkan musuh.;;;1;-;-3;200;270;007;;
008;Wartortle;63;80;Squirtle;2;3;Water;Fire, Ground, Rock;Water, Fire;Tidak;Wartortle menggunakan ekornya yang berbulu untuk menjaga keseimbangan saat berenang.;;;3;Squirtle;-1;650;840;008;;
009;Blastoise;83;100;Wartortle;3;3;Water;Fire, Ground, Rock;Water, Fire;Tidak;Blastoise memiliki meriam air besar di punggungnya yang dapat menembakkan air dengan kekuatan yang luar biasa.;;;5;Wartortle;1;1160;1350;009;;
009_1;Mega Blastoise;103;120;Blastoise;-;-;Water;Fire, Ground, Rock;Water, Fire;Tidak;Mega Blastoise menggunakan meriam besar di punggungnya untuk menyerang musuh dari jarak jauh dengan akurasi tinggi.;;M/G;7;Blastoise;4;1750;1790;009_1;009;v
009_2;Gigantamax Blastoise;110;130;Blastoise;-;-;Water;Fire, Ground, Rock;Water, Fire;Tidak;Gigantamax Blastoise memiliki lebih banyak meriam di seluruh cangkangnya, menembakkan serangan air yang sangat kuat.;;M/G;7;Blastoise;4;1730;1810;009_2;009;v
172;Pichu;40;15;-;1;3;Electric;Water, Flying;Electric, Flying;Tidak;Pichu menghasilkan sedikit listrik, sering kali tersengat listrik sendiri saat bermain.;;;1;-;-2;350;130;172;;
025;Pikachu;55;40;Pichu;2;3;Electric;Water, Flying;Electric, Flying;Tidak;Pikachu dapat mengumpulkan listrik di kantong pipinya dan melepaskannya dalam serangan listrik yang kuat.;;;3;Pichu;0;870;630;025;;
025_1;Gigantamax Pikachu;75;50;Pikachu;-;-;Electric;Water, Flying;Electric, Flying;Tidak;Gigantamax Pikachu menjadi lebih besar dan menggunakan listrik dalam jumlah besar untuk menyerang musuh dengan kekuatan luar biasa.;;M/G;5;Pikachu;3;1590;940;025_1;025;v
026;Raichu;90;55;Pikachu;3;3;Electric;Water, Flying;Electric, Flying;Tidak;Raichu memiliki kekuatan listrik yang jauh lebih kuat daripada Pikachu, dan dapat menghantarkan arus listrik besar.;;;5;Pikachu;2;1610;910;026;;
026_1;Alolan Raichu;95;70;Pikachu;3;3;Electric, Psychic;Water, Flying, Fighting;Electric, Psychic;Tidak;Alolan Raichu menggunakan ekornya sebagai papan selancar untuk meluncur di udara dan menyerang musuh dengan serangan psikis.;;;5;Pikachu;2;1500;1020;026_1;;
123;Scyther;110;80;-;1;2;Bug, Flying;Grass, Psychic;Bug, Fighting;Tidak;Scyther menggunakan kecepatan luar biasa untuk menyerang dengan pedang di kedua lengannya.;;;2;-;0;580;420;123;;
212;Scizor;130;100;Scyther;2;2;Bug, Steel;FWatery, Ice, Rock;Bug, Psychic;Tidak;Scizor menggunakan cakarnya yang kuat untuk memotong musuhnya dengan presisi yang mematikan.;;;4;Scyther;1;1150;860;212;;
212_1;Mega Scizor;150;140;Scizor;-;-;Bug, Steel;FWatery, Ice, Rock;Bug, Psychic;Tidak;Mega Scizor meningkatkan kekuatan cakarnya secara signifikan, menjadikannya lebih mematikan dalam pertarungan.;;M/G;6;Scizor;4;1680;1360;212_1;212;v
133;Eevee;55;50;-;1;2;Normal;Ghost;Ghost, Ground;Tidak;Eevee memiliki kemampuan evolusi menjadi beberapa tipe yang berbeda berdasarkan kondisi lingkungannya.;;;2;-;0;520;480;133;;
133_1;Gigantamax Eevee;85;75;Eevee;-;-;Normal;Ghost;Ghost, Ground;Tidak;Gigantamax Eevee menjadi sangat besar, dengan bulu yang lebat dan menyerang musuh dengan kekuatan luar biasa.;;M/G;4;Eevee;3;1130;900;133_1;133;v
134;Vaporeon;65;60;Eevee;2;2;Water;Fire, Ground, Rock;Water, Ice;Tidak;Vaporeon dapat mencairkan tubuhnya ke dalam air, memungkinkan dia untuk bersembunyi dengan mudah.;;;4;Eevee;0;1040;960;134;;
135;Jolteon;65;60;Eevee;2;2;Electric;Water, Flying;Electric, Flying;Tidak;Jolteon menggunakan bulu-bulunya yang bermuatan listrik untuk menghasilkan serangan petir.;;;4;Eevee;1;1060;950;135;;
136;Flareon;65;60;Eevee;2;2;Fire;Grass, Bug, Ice;Fire, Grass, Bug;Tidak;Flareon mampu menyimpan panas dalam tubuhnya hingga 1.600 derajat, membuat napasnya berapi.;;;4;Eevee;-1;1020;970;136;;
196;Espeon;65;60;Eevee;2;2;Psychic;Fighting, Poison;Psychic, Dark;Tidak;Espeon dapat merasakan perubahan cuaca dengan menggunakan kemampuan psikisnya.;;;4;Eevee;1;1060;950;196;;
197;Umbreon;65;60;Eevee;2;2;Dark;Psychic, Ghost;Dark, Ghost;Tidak;Umbreon menggunakan malam untuk bersembunyi dan menyerang musuh dengan serangan kegelapan.;;;4;Eevee;1;1060;950;197;;
243;Raikou;85;75;-;1;1;Electric;Water, Flying;Electric, Flying;Ya;Raikou adalah Pokemon legendaris yang mewakili petir, dengan kecepatan kilat dan serangan yang menghancurkan.;;;6;-;3;1690;1340;243;;
244;Entei;115;85;-;1;1;Fire;Grass, Bug, Ice;Fire, Grass, Bug;Ya;Entei adalah Pokemon legendaris yang menguasai api, sering kali menimbulkan letusan vulkanik saat berlari.;;;6;-;1;1760;1250;244;;
245;Suicune;75;115;-;1;1;Water;Fire, Ground, Rock;Water, Ice;Ya;Suicune dianggap sebagai Pokemon legendaris yang dapat memurnikan air dengan langkahnya.;;;6;-;2;1230;1790;245;;
249;Lugia;90;130;-;1;1;Psychic, Flying;Fighting, Grass;Ground, Psychic;Ya;Lugia, penjaga lautan, memiliki kekuatan luar biasa untuk mengendalikan angin dan arus laut.;;;6;-;4;1330;1710;249;;
250;Ho-Oh;130;90;-;1;1;Fire, Flying;Grass, Bug, Ice;Ground, Bug, Fire;Ya;Ho-Oh dikatakan dapat menghidupkan kembali Pokemon yang mati dan membangkitkan harapan bagi mereka yang melihatnya.;;;6;-;2;1840;1180;250;;
252;Treecko;45;35;-;1;3;Grass;Water, Ground, Rock;Grass, Electric;Tidak;Treecko dikenal dengan kemampuannya memanjat pohon dengan cepat, menggunakan ekornya sebagai keseimbangan.;;;1;-;-3;260;210;252;;
253;Grovyle;65;45;Treecko;2;3;Grass;Water, Ground, Rock;Grass, Electric;Tidak;Grovyle menggunakan kecepatan dan cakar tajam untuk bertarung, dan sering ditemukan di hutan.;;;3;Treecko;-1;870;620;253;;
254;Sceptile;85;65;Grovyle;3;3;Grass;Water, Ground, Rock;Grass, Electric;Tidak;Sceptile dikenal dengan daun tajam di tubuhnya, mampu melakukan serangan mematikan.;;;5;Grovyle;1;1450;1060;254;;
254_1;Mega Sceptile;110;75;Sceptile;-;-;Grass, Dragon;Water, Ground, Rock;Electric, Grass;Tidak;Mega Sceptile memperoleh tipe Dragon, membuatnya lebih kuat dan cepat, dengan ekor yang mampu menembakkan proyektil.;;M/G;7;Sceptile;5;2290;1260;254_1;254;v
255;Torchic;50;40;-;1;3;Fire;Grass, Bug, Ice;Bug, Steel, Fire;Tidak;Torchic dikenal dengan kemampuannya menyemburkan api kecil dari mulutnya.;;;1;-;-4;260;200;255;;
256;Combusken;85;60;Torchic;2;3;Fire, Fighting;Grass, Ice, Bug;Bug, Fire, Steel;Tidak;Combusken berlatih keras dengan kakinya yang kuat, mampu menendang musuh dengan serangan mematikan.;;;3;Torchic;-1;860;630;256;;
257;Blaziken;120;70;Combusken;3;3;Fire, Fighting;Steel, Grass, Ice;Bug, Fire, Steel;Tidak;Blaziken adalah Pokemon petarung yang memiliki tendangan berapi, mampu membakar musuhnya.;;;5;Combusken;1;1610;900;257;;
257_1;Mega Blaziken;160;80;Blaziken;-;-;Fire, Fighting;Steel, Grass, Ice;Bug, Fire, Steel;Tidak;Mega Blaziken memiliki kekuatan fisik luar biasa dan meningkatkan kecepatannya dengan setiap serangan.;;M/G;7;Blaziken;4;2520;1020;257_1;257;v
258;Mudkip;50;50;-;1;3;Water;Fire, Ground, Rock;Water, Ice;Tidak;Mudkip adalah Pokemon yang dikenal dengan kekuatan luar biasa di air dan kemampuan berenang cepat.;;;1;-;-3;240;230;258;;
259;Marshtomp;70;60;Mudkip;2;3;Water, Ground;Fire, Rock, Electric;Water, Poison;Tidak;Marshtomp dapat bergerak dengan mudah di lumpur dan air, menggunakan kekuatan besar dalam bertarung.;;;3;Mudkip;0;810;690;259;;
260;Swampert;110;90;Marshtomp;3;3;Water, Ground;Fire, Rock, Electric;Water, Poison;Tidak;Swampert memiliki kekuatan besar di air dan darat, membuatnya mampu menghadapi berbagai musuh.;;;5;Marshtomp;2;1430;1090;260;;
260_1;Mega Swampert;150;110;Swampert;-;-;Water, Ground;Fire, Rock, Electric;Water, Poison;Tidak;Mega Swampert mendapatkan kekuatan otot yang luar biasa, membuatnya mampu mengalahkan musuh dalam satu serangan kuat.;;M/G;7;Swampert;5;2220;1330;260_1;260;v
302;Sableye;75;75;-;1;1;Dark, Ghost;Psychic, Ghost;Normal, Fighting;Tidak;Sableye sering ditemukan di tambang, mencari permata, dan dikenal karena serangan hantunya.;;;4;-;2;1040;980;302;;
302_1;Mega Sableye;85;125;Sableye;-;-;Dark, Ghost;Psychic, Ghost;Normal, Fighting;Tidak;Mega Sableye menggunakan permata besar untuk melindungi dirinya dari serangan lawan, menjadikannya lebih defensif.;;M/G;6;Sableye;5;1340;1710;302_1;302;v
144;Articuno;85;100;-;1;1;Ice, Flying;Grass, Ground, Dragon;Bug, Grass, Ice;Ya;Articuno adalah burung legendaris penguasa es, mampu membekukan udara di sekitarnya dengan mengepakkan sayap.;;;6;-;2;1430;1590;144;;
145;Zapdos;90;85;-;1;1;Electric, Flying;Water, Flying, Steel;Bug, Grass, Electric;Ya;Zapdos mengendalikan petir dan sering terlihat saat badai besar, dikenal karena kemampuan listriknya yang kuat.;;;6;-;2;1600;1420;145;;
146;Moltres;100;90;-;1;1;Fire, Flying;Grass, Bug, Ice;Bug, Fire, Grass;Ya;Moltres adalah burung legendaris yang mampu memanaskan udara di sekitarnya dan menyebabkan semburan api.;;;6;-;2;1640;1380;146;;
150;Mewtwo;110;90;-;1;1;Psychic;Fighting, Poison;Psychic, Ghost;Ya;Mewtwo adalah Pokemon buatan manusia yang diciptakan dari DNA Mew, terkenal karena kekuatan psikisnya yang sangat besar.;;;6;-;3;1750;1280;150;;
150_1;Mega Mewtwo X;130;100;Mewtwo;-;-;Psychic, Fighting;Steel, Rock, Ice;Psychic, Fighting;Ya;Mega Mewtwo X meningkatkan kemampuan fisiknya, menjadikannya lebih kuat dan cepat dalam pertempuran fisik.;;M/G;8;Mewtwo;6;2530;1530;150_1;150;v
150_2;Mega Mewtwo Y;120;80;Mewtwo;-;-;Psychic;Fighting, Poison;Psychic, Ghost;Ya;Mega Mewtwo Y fokus pada kekuatan psikis, memperkuat serangan energi mentalnya yang kuat.;;M/G;8;Mewtwo;6;2690;1370;150_2;150;v
151;Mew;100;100;-;1;1;Psychic;Fighting, Poison;Psychic, Ghost;Ya;Mew adalah Pokemon mitos yang mampu mempelajari setiap gerakan, dan dikatakan menyimpan DNA dari semua Pokemon.;;;6;-;3;1590;1440;151;;
143;Snorlax;110;65;-;1;1;Normal;Ghost;Bug, Ghost, Normal;Tidak;Snorlax dikenal karena tidurnya yang lama, namun memiliki kekuatan luar biasa saat terbangun.;;;4;-;1;1280;730;143;;
094_1;Mega Gengar;170;80;Gengar;-;-;Ghost, Poison;Psychic, Ghost;Fighting, Normal;Tidak;Mega Gengar menjadi lebih berbahaya, dengan kemampuan menyerang secara mematikan dari dimensi bayangan.;;M/G;7;Gengar;6;2670;890;094_1;094;v
129;Magikarp;10;55;-;1;2;Water;Fire, Ground, Rock;Water, Ice;Tidak;Magikarp dikenal sebagai Pokemon yang sangat lemah, namun dapat berevolusi menjadi Gyarados yang sangat kuat.;;;2;-;-2;150;830;129;;
130;Gyarados;125;79;Magikarp;2;2;Water, Flying;Fire, Ground, Rock;Bug, Fighting;Tidak;Gyarados adalah Pokemon ular air yang sangat kuat dan ganas, mampu menyebabkan kehancuran besar.;;;4;Magikarp;1;1250;760;130;;
130_1;Mega Gyarados;155;109;Gyarados;-;-;Water, Dark;Fire, Ground, Psychic;Water, Psychic;Tidak;Mega Gyarados memperoleh kekuatan besar dan berubah menjadi tipe Dark, meningkatkan daya serangannya.;;M/G;6;Gyarados;4;1900;1140;130_1;130;v
147;Dratini;64;45;-;1;3;Dragon;Fire, Water, Grass;Electric, Grass;Tidak;Dratini adalah Pokemon Naga kecil yang hidup di perairan, dan mampu tumbuh menjadi sangat besar saat berevolusi.;;;1;-;-3;280;190;147;;
148;Dragonair;84;70;Dratini;2;3;Dragon;Fire, Water, Grass;Electric, Grass;Tidak;Dragonair dikenal karena bentuk anggunnya dan kemampuannya mengendalikan cuaca.;;;3;Dratini;-1;800;690;148;;
149;Dragonite;134;95;Dragonair;3;3;Dragon, Flying;Grass, Bug, Fighting;Bug, Grass, Ground;Tidak;Dragonite adalah Pokemon Naga kuat, terkenal karena kecepatan terbangnya dan kemampuannya mengendalikan cuaca.;;;5;Dragonair;1;1490;1020;149;;
142;Aerodactyl;105;65;-;1;1;Rock, Flying;Bug, Grass, Ice;Bug, Fire, Flying;Tidak;Aerodactyl adalah Pokemon fosil prasejarah yang menggunakan kecepatan dan kekuatan sayapnya dalam pertempuran.;;;4;-;0;1240;760;142;;
142_1;Mega Aerodactyl;135;85;Aerodactyl;-;-;Rock, Flying;Bug, Grass, Ice;Bug, Fire, Flying;Tidak;Mega Aerodactyl mendapatkan kekuatan tambahan dan bentuk tubuh yang lebih tajam dan mematikan.;;M/G;6;Aerodactyl;3;1950;1080;142_1;142;v
092;Gastly;35;30;-;1;3;Ghost, Poison;Psychic, Grass;Normal, Fighting;Tidak;Gastly adalah Pokemon hantu dengan tubuh gas yang bisa menyusup ke tempat manapun dan menakuti musuh.;;;1;-;-1;260;230;092;;
093;Haunter;50;45;Gastly;2;3;Ghost, Poison;Psychic, Grass;Normal, Fighting;Tidak;Haunter dikenal karena kemampuannya yang menakutkan dan kebiasaannya berkeliaran di tempat-tempat yang gelap.;;;3;Gastly;1;810;700;093;;
094;Gengar;65;60;Haunter;3;3;Ghost, Poison;Psychic, Grass;Normal, Fighting;Tidak;Gengar adalah Pokemon hantu yang sangat berbahaya dengan kemampuan untuk menyerang musuh dari bayang-bayang.;;;5;Haunter;3;1380;1150;094;;
137;Porygon;60;70;-;1;3;Normal;Ghost;Ghost, Bug, Normal;Tidak;Porygon adalah Pokemon buatan manusia yang dapat memasuki dunia digital dan mengubah datanya.;;;1;-;-2;220;260;137;;
138;Omanyte;40;100;-;1;2;Rock, Water;Fire, Bug, Ice;Water, Ice, Ground;Tidak;Omanyte adalah Pokemon fosil dengan cangkang keras yang melindunginya dari serangan musuh.;;;2;-;-2;270;710;138;;
139;Omastar;70;125;Omanyte;2;2;Rock, Water;Fire, Bug, Ice;Water, Ice, Ground;Tidak;Omastar menggunakan tentakelnya yang kuat untuk meremukkan cangkang lawan dan mangsanya.;;;4;Omanyte;0;720;1280;139;;
140;Kabuto;80;90;-;1;2;Rock, Water;Fire, Bug, Ice;Water, Ice, Ground;Tidak;Kabuto adalah Pokemon fosil dengan tubuh kecil yang terlindungi oleh cangkang kerasnya.;;;2;-;-2;450;530;140;;
141;Kabutops;115;105;Kabuto;2;2;Rock, Water;Fire, Bug, Ice;Water, Ice, Ground;Tidak;Kabutops dikenal karena cakar tajamnya yang dapat digunakan untuk memotong musuh dan mencari mangsa.;;;4;Kabuto;0;1050;950;141;;
090;Shellder;65;100;-;1;2;Water;Fire, Ground, Rock;Water, Ice;Tidak;Shellder memiliki cangkang keras yang melindunginya dari serangan, dan hidup di lautan.;;;2;-;-2;380;600;090;;
091;Cloyster;95;180;Shellder;2;2;Water, Ice;Fire, Ground, Rock;Water, Ice;Tidak;Cloyster dikenal karena pertahanannya yang sangat kuat dan kemampuannya menyerang dengan es.;;;4;Shellder;1;700;1310;091;;
214;Heracross;125;75;-;1;1;Bug, Fighting;Dark, Grass, Psychic;Dark, Grass;Tidak;Heracross adalah Pokemon tipe Bug dan Fighting yang memiliki kekuatan serang yang sangat besar.;;;4;-;1;1280;730;214;;
229;Houndoom;90;50;Houndour;2;2;Dark, Fire;Grass, Ghost, Psychic;Dark, Fire, Grass;Tidak;Houndoom adalah evolusi dari Houndour yang memiliki serangan api yang kuat dan kemampuan untuk menakut-nakuti lawan.;;;4;Houndour;0;1290;710;229;;
229_1;Mega Houndoom;140;90;Houndoom;-;-;Dark, Fire;Psychic, Ghost, Grass;Dark, Fire, Grass;Tidak;Mega Houndoom mengeluarkan serangan api yang lebih kuat, dengan kekuatan destruktif yang melampaui bentuk aslinya.;;M/G;6;Houndoom;3;1940;1090;229_1;229;v
246;Larvitar;64;50;-;1;3;Rock, Ground;Fire, Electric, Poison;Fire, Poison, Electric;Tidak;Larvitar adalah Pokemon tipe Batu dan Tanah yang akhirnya akan berevolusi menjadi Tyranitar yang kuat.;;;1;-;-3;260;210;246;;
247;Pupitar;84;70;Larvitar;2;3;Rock, Ground;Fire, Electric, Poison;Fire, Poison, Electric;Tidak;Pupitar adalah evolusi dari Larvitar yang sedang dalam proses berkembang menjadi Tyranitar.;;;3;Larvitar;-1;800;690;247;;
248;Tyranitar;134;110;Pupitar;3;3;Rock, Dark;Psychic, Ghost, Fire;Psychic, Ghost;Tidak;Tyranitar adalah Pokemon tipe Batu dan Kegelapan yang dikenal karena kekuatan fisiknya yang luar biasa dan kemampuannya menciptakan badai pasir.;;;5;Pupitar;2;1430;1090;248;;
248_1;Mega Tyranitar;164;150;Tyranitar;-;-;Rock, Dark;Psychic, Ghost, Fire;Psychic, Ghost;Tidak;Mega Tyranitar menjadi lebih masif dan kuat, meningkatkan serangan dan pertahanan secara signifikan.;;M/G;7;Tyranitar;5;2010;1540;248_1;248;v
241;Miltank;80;105;-;1;1;Normal;Ghost;Ghost;Tidak;Miltank adalah Pokemon sapi yang dikenal karena kemampuannya menghasilkan susu dan kekuatan pertahanan yang tinggi.;;;4;-;3;920;1110;241;;
208;Steelix;85;200;Onix;2;2;Steel, Ground;Rock, Poison, Electric;Poison, Electric;Tidak;Steelix adalah evolusi dari Onix dengan pertahanan yang sangat tinggi dan tubuh baja yang sangat keras.;;;4;Onix;1;610;1400;208;;
208_1;Mega Steelix;125;230;Steelix;-;-;Steel, Ground;Rock, Poison, Electric;Poison, Electric;Tidak;Mega Steelix memiliki pertahanan yang luar biasa, tubuh logamnya menjadi lebih kuat dan besar dari sebelumnya.;;M/G;6;Steelix;4;1140;1900;208_1;208;v
242;Blissey;75;135;Chansey;2;2;Normal;Ghost;Ghost;Tidak;Blissey adalah evolusi dari Chansey yang memiliki kemampuan penyembuhan luar biasa dan tingkat pertahanan yang tinggi.;;;4;Chansey;3;760;1270;242;;
228;Houndour;60;30;-;1;2;Dark, Fire;Grass, Ghost, Psychic;Dark, Fire, Grass;Tidak;Houndour adalah Pokemon tipe Kegelapan dan Api yang menyerang dengan serangan api dan taktik intimidasi.;;;2;-;-2;640;340;228;;
095;Onix;45;160;-;1;2;Rock, Ground;Fire, Electric, Poison;Electric, Poison;Tidak;Onix adalah Pokemon tipe Batu dan Tanah yang memiliki pertahanan fisik yang tinggi dan serangan tanah yang kuat.;;;2;-;-1;220;770;095;;
113;Chansey;35;50;-;1;2;Normal;Ghost;Ghost;Tidak;Chansey adalah Pokemon tipe Normal yang dikenal karena kemampuannya menyembuhkan dan kapasitas penyimpanan telurnya yang besar.;;;2;-;1;420;590;113;;
385;Jirachi;100;100;-;1;1;Steel, Psychic;Fighting, Poison, Ice;Psychic, Steel, Rock;Ya;Pokemon mitos yang hanya bangun selama tujuh hari setiap seribu tahun.;;;6;-;2;1560;1460;385;;
484;Palkia;120;100;-;1;1;Water, Dragon;Fire, Rock, Ground;Fire, Electric, Dragon;Ya;Pokemon legendaris yang menguasai dimensi ruang. Mampu memanipulasi ruang-waktu.;;;6;-;2;1700;1320;484;;
487;Giratina;120;120;-;1;1;Ghost, Dragon;Psychic, Dark, Electric;Normal, Fire, Electric;Ya;Pokemon legendaris yang menguasai dimensi distorsi, dunia yang berlawanan dengan dunia kita.;;;6;-;2;1560;1460;487;;
494;Victini;100;100;-;1;1;Psychic, Fire;Steel, Bug, Ice;Psychic, Steel, Fire;Ya;Pokemon mitos yang dikatakan memberi kemenangan dalam segala situasi.;;;6;-;2;1560;1460;494;;
638;Cobalion;90;129;-;1;1;Steel, Fighting;Steel, Ice, Rock;Psychic, Dark, Steel;Ya;Pokemon legendaris pemimpin dari Swords of Justice, memiliki hati yang adil dan berani.;;;6;-;2;1280;1740;638;;
639;Terrakion;129;90;-;1;1;Rock, Fighting;Steel, Dark, Ice;Psychic, Fire, Dark;Ya;Salah satu dari Swords of Justice, dikenal karena kekuatannya yang mampu meruntuhkan tebing.;;;6;-;2;1840;1180;639;;
640;Virizion;90;72;-;1;1;Grass, Fighting;Water, Rock, Ground;Psychic, Dark, Grass;Ya;Pokemon legendaris yang sangat gesit, dilindungi oleh bulu hijau cerahnya.;;;6;-;2;1730;1290;640;;
641;Tornadus;115;80;-;1;1;Flying;Bug, Ground, Grass;Bug, Steel, Ghost;Ya;Pokemon legendaris yang dapat menciptakan badai angin besar.;;;6;-;1;1800;1210;641;;
642;Thundurus;115;70;-;1;1;Electric, Flying;Water, Bug, Ground;Flying, Steel, Ice;Ya;Pokemon legendaris yang memanipulasi petir untuk menguasai cuaca.;;;6;-;2;1940;1080;642;;
643;Reshiram;120;100;-;1;1;Dragon, Fire;Ice, Bug, Steel;Fire, Ground, Rock;Ya;Pokemon legendaris yang menciptakan dunia dengan kebenaran dan api putih.;;;6;-;2;1700;1320;643;;
644;Zekrom;120;100;-;1;1;Dragon, Electric;Water, Flying, Fire;Electric, Steel, Dragon;Ya;Pokemon legendaris yang menciptakan dunia dengan idealisme dan listrik hitam.;;;6;-;2;1700;1320;644;;
645;Landorus;125;90;-;1;1;Ground, Flying;Fire, Steel, Rock;Electric, Ground, Rock;Ya;Pokemon legendaris yang mengendalikan tanah untuk membantu pertanian.;;;6;-;2;1810;1210;645;;
716;Xerneas;131;98;-;1;1;Fairy;Dragon, Dark, Dragon;Bug, Dark, Dragon;Ya;Pokemon legendaris yang diyakini dapat menghidupkan kembali alam.;;;6;-;1;1750;1260;716;;
717;Yveltal;131;95;-;1;1;Dark, Flying;Psychic, Grass, Ghost;Ground, Dark, Ghost;Ya;Pokemon legendaris yang menyerap kehidupan ketika sayapnya terbentang.;;;6;-;2;1810;1210;717;;
718;Zygarde;100;121;-;1;1;Dragon, Ground;Fire, Steel, Rock;Electric, Ground, Rock;Ya;Pokemon penjaga ekosistem yang muncul ketika dunia dalam keadaan krisis.;;;6;-;2;1410;1610;718;;
785;Tapu Koko;115;85;-;1;1;Electric, Fairy;Dragon, Flying, Dark;Bug, Dark, Dark;Ya;Pelindung Pulau Melemele, Pokemon yang memiliki hubungan dengan alam listrik.;;;6;-;2;1790;1230;785;;
786;Tapu Lele;115;85;-;1;1;Psychic, Fairy;Dragon, Dark, Fighting;Bug, Psychic, Dragon;Ya;Pelindung Pulau Akala, Pokemon yang mampu memanipulasi kekuatan mental.;;;6;-;2;1790;1230;786;;
787;Tapu Bulu;130;115;-;1;1;Grass, Fairy;Ground, Dark, Rock;Electric, Grass, Ground;Ya;Pelindung Pulau Ula'ula, dikenal karena kekuatannya yang menghancurkan.;;;6;-;2;1660;1360;787;;
788;Tapu Fini;95;115;-;1;1;Water, Fairy;Fire, Dragon, Dark;Fire, Water, Dragon;Ya;Pelindung Pulau Poni, Pokemon yang dapat memurnikan air dan mengendalikan laut.;;;6;-;2;1410;1610;788;;
800;Necrozma;127;97;-;1;1;Psychic;Fighting, Poison, Fire;Psychic, Steel, Ghost;Ya;Pokemon legendaris yang menyerap cahaya untuk memperkuat dirinya.;;;6;-;1;1730;1280;800;;
888;Zacian;130;115;-;1;1;Fairy, Steel;Dragon, Rock, Ground;Bug, Psychic, Dark;Ya;Salah satu dari dua pahlawan legendaris yang melindungi Galar dari ancaman besar.;;;6;-;2;1660;1360;888;;
889;Zamazenta;130;115;-;1;1;Fighting, Steel;Dragon, Rock, Ground;Psychic, Bug, Dragon;Ya;Legenda lain dari duo pelindung Galar, dikenal dengan perisai kuatnya.;;;6;-;2;1660;1360;889;;
